award_notice_date,award_count,year,day_of_year,cumulative_award_count
2021-01-01,64,2021,1,64
2021-01-02,2,2021,2,66
2021-01-04,57,2021,4,123
2021-01-05,76,2021,5,199
2021-01-06,81,2021,6,280
2021-01-07,110,2021,7,390
2021-01-08,84,2021,8,474
2021-01-09,14,2021,9,488
2021-01-10,4,2021,10,492
2021-01-11,104,2021,11,596
2021-01-12,109,2021,12,705
2021-01-13,139,2021,13,844
2021-01-14,203,2021,14,1047
2021-01-15,215,2021,15,1262
2021-01-16,4,2021,16,1266
2021-01-17,3,2021,17,1269
2021-01-18,101,2021,18,1370
2021-01-19,121,2021,19,1491
2021-01-20,142,2021,20,1633
2021-01-21,89,2021,21,1722
2021-01-22,232,2021,22,1954
2021-01-23,27,2021,23,1981
2021-01-24,1,2021,24,1982
2021-01-25,275,2021,25,2257
2021-01-26,213,2021,26,2470
2021-01-27,246,2021,27,2716
2021-01-28,339,2021,28,3055
2021-01-29,313,2021,29,3368
2021-01-30,32,2021,30,3400
2021-01-31,15,2021,31,3415
2021-02-01,282,2021,32,3697
2021-02-02,173,2021,33,3870
2021-02-03,217,2021,34,4087
2021-02-04,253,2021,35,4340
2021-02-05,252,2021,36,4592
2021-02-06,19,2021,37,4611
2021-02-08,169,2021,39,4780
2021-02-09,200,2021,40,4980
2021-02-10,219,2021,41,5199
2021-02-11,240,2021,42,5439
2021-02-12,277,2021,43,5716
2021-02-13,19,2021,44,5735
2021-02-14,15,2021,45,5750
2021-02-15,140,2021,46,5890
2021-02-16,117,2021,47,6007
2021-02-17,245,2021,48,6252
2021-02-18,266,2021,49,6518
2021-02-19,275,2021,50,6793
2021-02-20,16,2021,51,6809
2021-02-21,9,2021,52,6818
2021-02-22,307,2021,53,7125
2021-02-23,273,2021,54,7398
2021-02-24,321,2021,55,7719
2021-02-25,256,2021,56,7975
2021-02-26,419,2021,57,8394
2021-02-27,18,2021,58,8412
2021-02-28,16,2021,59,8428
2021-03-01,358,2021,60,8786
2021-03-02,188,2021,61,8974
2021-03-03,197,2021,62,9171
2021-03-04,228,2021,63,9399
2021-03-05,256,2021,64,9655
2021-03-06,15,2021,65,9670
2021-03-07,4,2021,66,9674
2021-03-08,207,2021,67,9881
2022-01-01,17,2022,1,17
2022-01-02,3,2022,2,20
2022-01-03,27,2022,3,47
2022-01-04,90,2022,4,137
2022-01-05,133,2022,5,270
2022-01-06,139,2022,6,409
2022-01-07,178,2022,7,587
2022-01-08,7,2022,8,594
2022-01-09,2,2022,9,596
2022-01-10,152,2022,10,748
2022-01-11,135,2022,11,883
2022-01-12,212,2022,12,1095
2022-01-13,217,2022,13,1312
2022-01-14,225,2022,14,1537
2022-01-15,19,2022,15,1556
2022-01-16,6,2022,16,1562
2022-01-17,112,2022,17,1674
2022-01-18,151,2022,18,1825
2022-01-19,238,2022,19,2063
2022-01-20,310,2022,20,2373
2022-01-21,227,2022,21,2600
2022-01-22,8,2022,22,2608
2022-01-23,7,2022,23,2615
2022-01-24,319,2022,24,2934
2022-01-25,229,2022,25,3163
2022-01-26,170,2022,26,3333
2022-01-27,238,2022,27,3571
2022-01-28,248,2022,28,3819
2022-01-29,21,2022,29,3840
2022-01-30,5,2022,30,3845
2022-01-31,381,2022,31,4226
2022-02-01,354,2022,32,4580
2022-02-02,210,2022,33,4790
2022-02-03,197,2022,34,4987
2022-02-04,187,2022,35,5174
2022-02-05,12,2022,36,5186
2022-02-06,1,2022,37,5187
2022-02-07,199,2022,38,5386
2022-02-08,205,2022,39,5591
2022-02-09,261,2022,40,5852
2022-02-10,248,2022,41,6100
2022-02-11,244,2022,42,6344
2022-02-12,2,2022,43,6346
2022-02-13,1,2022,44,6347
2022-02-14,223,2022,45,6570
2022-02-15,287,2022,46,6857
2022-02-16,231,2022,47,7088
2022-02-17,241,2022,48,7329
2022-02-18,275,2022,49,7604
2022-02-19,11,2022,50,7615
2022-02-20,10,2022,51,7625
2022-02-21,115,2022,52,7740
2022-02-22,207,2022,53,7947
2022-02-23,225,2022,54,8172
2022-02-24,278,2022,55,8450
2022-02-25,359,2022,56,8809
2022-02-26,10,2022,57,8819
2022-02-27,2,2022,58,8821
2022-02-28,324,2022,59,9145
2022-03-01,393,2022,60,9538
2022-03-02,196,2022,61,9734
2022-03-03,204,2022,62,9938
2022-03-04,214,2022,63,10152
2022-03-05,16,2022,64,10168
2022-03-06,13,2022,65,10181
2022-03-07,224,2022,66,10405
2022-03-08,224,2022,67,10629
2023-01-01,7,2023,1,7
2023-01-02,23,2023,2,30
2023-01-03,49,2023,3,79
2023-01-04,153,2023,4,232
2023-01-05,200,2023,5,432
2023-01-06,171,2023,6,603
2023-01-07,11,2023,7,614
2023-01-08,4,2023,8,618
2023-01-09,139,2023,9,757
2023-01-10,162,2023,10,919
2023-01-11,146,2023,11,1065
2023-01-12,208,2023,12,1273
2023-01-13,199,2023,13,1472
2023-01-14,25,2023,14,1497
2023-01-15,9,2023,15,1506
2023-01-16,81,2023,16,1587
2023-01-17,118,2023,17,1705
2023-01-18,213,2023,18,1918
2023-01-19,218,2023,19,2136
2023-01-20,303,2023,20,2439
2023-01-21,10,2023,21,2449
2023-01-22,8,2023,22,2457
2023-01-23,208,2023,23,2665
2023-01-24,290,2023,24,2955
2023-01-25,334,2023,25,3289
2023-01-26,295,2023,26,3584
2023-01-27,303,2023,27,3887
2023-01-28,36,2023,28,3923
2023-01-29,2,2023,29,3925
2023-01-30,350,2023,30,4275
2023-01-31,403,2023,31,4678
2023-02-01,363,2023,32,5041
2023-02-02,193,2023,33,5234
2023-02-03,206,2023,34,5440
2023-02-04,29,2023,35,5469
2023-02-05,2,2023,36,5471
2023-02-06,209,2023,37,5680
2023-02-07,180,2023,38,5860
2023-02-08,192,2023,39,6052
2023-02-09,216,2023,40,6268
2023-02-10,227,2023,41,6495
2023-02-11,13,2023,42,6508
2023-02-12,1,2023,43,6509
2023-02-13,177,2023,44,6686
2023-02-14,181,2023,45,6867
2023-02-15,290,2023,46,7157
2023-02-16,260,2023,47,7417
2023-02-17,294,2023,48,7711
2023-02-18,39,2023,49,7750
2023-02-19,6,2023,50,7756
2023-02-20,103,2023,51,7859
2023-02-21,170,2023,52,8029
2023-02-22,253,2023,53,8282
2023-02-23,323,2023,54,8605
2023-02-24,305,2023,55,8910
2023-02-25,25,2023,56,8935
2023-02-26,14,2023,57,8949
2023-02-27,267,2023,58,9216
2023-02-28,464,2023,59,9680
2023-03-01,343,2023,60,10023
2023-03-02,224,2023,61,10247
2023-03-03,243,2023,62,10490
2023-03-04,10,2023,63,10500
2023-03-05,16,2023,64,10516
2023-03-06,267,2023,65,10783
2023-03-07,209,2023,66,10992
2023-03-08,299,2023,67,11291
2024-01-01,60,2024,1,60
2024-01-02,67,2024,2,127
2024-01-03,133,2024,3,260
2024-01-04,179,2024,4,439
2024-01-05,196,2024,5,635
2024-01-06,13,2024,6,648
2024-01-07,1,2024,7,649
2024-01-08,128,2024,8,777
2024-01-09,166,2024,9,943
2024-01-10,209,2024,10,1152
2024-01-11,131,2024,11,1283
2024-01-12,226,2024,12,1509
2024-01-13,8,2024,13,1517
2024-01-14,2,2024,14,1519
2024-01-15,101,2024,15,1620
2024-01-16,133,2024,16,1753
2024-01-17,257,2024,17,2010
2024-01-18,224,2024,18,2234
2024-01-19,225,2024,19,2459
2024-01-20,7,2024,20,2466
2024-01-21,8,2024,21,2474
2024-01-22,221,2024,22,2695
2024-01-23,259,2024,23,2954
2024-01-24,252,2024,24,3206
2024-01-25,268,2024,25,3474
2024-01-26,281,2024,26,3755
2024-01-27,4,2024,27,3759
2024-01-28,4,2024,28,3763
2024-01-29,275,2024,29,4038
2024-01-30,256,2024,30,4294
2024-01-31,312,2024,31,4606
2024-02-01,286,2024,32,4892
2024-02-02,183,2024,33,5075
2024-02-03,7,2024,34,5082
2024-02-04,2,2024,35,5084
2024-02-05,195,2024,36,5279
2024-02-06,177,2024,37,5456
2024-02-07,197,2024,38,5653
2024-02-08,208,2024,39,5861
2024-02-09,186,2024,40,6047
2024-02-10,13,2024,41,6060
2024-02-11,6,2024,42,6066
2024-02-12,163,2024,43,6229
2024-02-13,163,2024,44,6392
2024-02-14,275,2024,45,6667
2024-02-15,249,2024,46,6916
2024-02-16,209,2024,47,7125
2024-02-17,5,2024,48,7130
2024-02-19,128,2024,50,7258
2024-02-20,141,2024,51,7399
2024-02-21,320,2024,52,7719
2024-02-22,250,2024,53,7969
2024-02-23,281,2024,54,8250
2024-02-24,12,2024,55,8262
2024-02-25,4,2024,56,8266
2024-02-26,243,2024,57,8509
2024-02-27,308,2024,58,8817
2024-02-28,220,2024,59,9037
2024-02-29,299,2024,60,9336
2024-03-01,333,2024,61,9669
2024-03-02,22,2024,62,9691
2024-03-03,11,2024,63,9702
2024-03-04,185,2024,64,9887
2024-03-05,287,2024,65,10174
2024-03-06,280,2024,66,10454
2024-03-07,223,2024,67,10677
2025-01-01,57,2025,1,57
2025-01-02,39,2025,2,96
2025-01-03,94,2025,3,190
2025-01-04,3,2025,4,193
2025-01-06,87,2025,6,280
2025-01-07,114,2025,7,394
2025-01-08,181,2025,8,575
2025-01-09,130,2025,9,705
2025-01-10,113,2025,10,818
2025-01-11,2,2025,11,820
2025-01-13,184,2025,13,1004
2025-01-14,172,2025,14,1176
2025-01-15,239,2025,15,1415
2025-01-16,192,2025,16,1607
2025-01-17,321,2025,17,1928
2025-01-18,22,2025,18,1950
2025-01-19,11,2025,19,1961
2025-01-20,74,2025,20,2035
