date_added,appl_id,project_num,activity_code,project_title,org_name,project_start_date,new_project_end_date,old_project_end_date,budget_start,new_budget_end_date,old_budget_end_date,new_award_amount,old_award_amount,award_amount_change
2024-06-01 04:06:40,10841395,5F30CA281082-02,F30,Investigating the relationship between the systemic response to infection and tumor initiation and progression in Brca1 breast cancer,STATE UNIVERSITY NEW YORK STONY BROOK,2023-06-01 12:06:00,2027-05-31 12:05:00,2028-01-31 12:01:00,2024-06-01 12:06:00,2025-05-31 12:05:00,2026-01-31 12:01:00,41277,41277,0
2024-09-07 04:09:48,10995527,1F31DC022153-01,F31,Leveraging human intracranial recordings to quantitatively characterize basal ganglia output during speech,HARVARD MEDICAL SCHOOL,2024-09-01 12:09:00,2027-05-31 12:05:00,2027-08-31 12:08:00,2024-09-01 12:09:00,2025-05-31 12:05:00,2025-08-31 12:08:00,43203,43203,0
2024-07-06 04:07:38,10862718,5F30DK134109-03,F30,Elucidating the role of Fra1 in pancreatic Kras-driven acinar to ductal metaplasia,COLUMBIA UNIVERSITY HEALTH SCIENCES,2022-07-01 12:07:00,2025-03-14 12:03:00,2026-06-30 12:06:00,2024-07-01 12:07:00,2025-03-14 12:03:00,2025-06-30 12:06:00,53974,53974,0
2024-07-06 04:07:38,10900078,1F31NR021239-01,F31,Personal Healthcare Networks of Transgender and Gender-Diverse Adults After Gender-Affirming Surgery,COLUMBIA UNIVERSITY HEALTH SCIENCES,2024-07-01 12:07:00,2025-03-14 12:03:00,2026-03-31 12:03:00,2024-07-01 12:07:00,2025-03-14 12:03:00,2025-06-30 12:06:00,48974,48974,0
2024-09-21 04:09:10,10914690,5F30HD108886-03,F30,"Quantifying the interactions among maternal race, vaginal metabolites, and microbes in preterm birth",COLUMBIA UNIVERSITY HEALTH SCIENCES,2022-09-15 12:09:00,2025-03-14 12:03:00,2026-09-14 12:09:00,2024-09-15 12:09:00,2025-03-14 12:03:00,2025-09-14 12:09:00,53974,53974,0
2024-07-13 04:07:17,11099655,5F31HD110242-02,F31,Mechanisms controlling cell type-specific transcription factor activity in the development of serially homologous structures in Drosophila,COLUMBIA UNIVERSITY HEALTH SCIENCES,2023-07-01 12:07:00,2025-03-14 12:03:00,2026-06-30 12:06:00,2024-07-01 12:07:00,2025-03-14 12:03:00,2025-06-30 12:06:00,48974,48974,0
2024-08-03 04:08:44,10824991,1F31AI176851-01A1,F31,Investigating the potential of wastewater surveillance data to improve SARS-CoV-2 dynamical modeling and forecasting,COLUMBIA UNIVERSITY HEALTH SCIENCES,2024-08-01 12:08:00,2025-03-14 12:03:00,2026-07-31 12:07:00,2024-08-01 12:08:00,2025-03-14 12:03:00,2025-07-31 12:07:00,36053,36053,0
2024-04-20 04:04:51,10903156,1F31HD114466-01A1,F31,Brain-wide neural mechanisms enhancing maternal behavioral response to infant cues,COLUMBIA UNIVERSITY HEALTH SCIENCES,2024-04-05 12:04:00,2025-03-14 12:03:00,2026-09-04 12:09:00,2024-04-05 12:04:00,2025-03-14 12:03:00,2025-04-04 12:04:00,48974,48974,0
2024-06-01 04:06:40,10903057,1F31DK137600-01A1,F31,Acetylation as a novel post-translational modification of MafA,COLUMBIA UNIVERSITY HEALTH SCIENCES,2024-06-01 12:06:00,2025-03-14 12:03:00,2026-05-31 12:05:00,2024-06-01 12:06:00,2025-03-14 12:03:00,2025-05-31 12:05:00,48974,48974,0
2024-08-12 06:08:53,10898330,1F31HD115324-01,F31,"Associations among maternal stress, infant epigenetics, and behavioral and cognitive development across the first few years of life",COLUMBIA UNIVERSITY TEACHERS COLLEGE,2024-08-01 12:08:00,2025-03-14 12:03:00,2026-07-31 12:07:00,2024-08-01 12:08:00,2025-03-14 12:03:00,2025-07-31 12:07:00,42574,42574,0
2024-09-14 04:09:49,10902995,1F31HD114449-01A1,F31,Biomechanics and mechanobiology of human uterine fibroids,COLUMBIA UNIV NEW YORK MORNINGSIDE,2024-09-01 12:09:00,2025-03-14 12:03:00,2026-08-31 12:08:00,2024-09-01 12:09:00,2025-03-14 12:03:00,2025-08-31 12:08:00,48974,48974,0
2025-01-18 04:01:31,11003276,5F31NS130983-03,F31,Type I Interferon Mediated Restoration of Brain Endothelial Cell Function after Cerebral Infarction,COLUMBIA UNIVERSITY HEALTH SCIENCES,2023-01-15 12:01:00,2025-03-14 12:03:00,2026-01-14 12:01:00,2025-01-15 12:01:00,2025-03-14 12:03:00,2026-01-14 12:01:00,48974,48974,0
2025-01-18 04:01:31,11071091,1F31DK142531-01,F31,Immature neutrophil migration promotes inflammation during obesity,COLUMBIA UNIVERSITY HEALTH SCIENCES,2024-12-24 12:12:00,2025-03-14 12:03:00,2026-12-23 12:12:00,2024-12-24 12:12:00,2025-03-14 12:03:00,2025-12-23 12:12:00,48974,48974,0
2024-07-20 04:07:58,10888994,5F30CA271624-03,F30,Contribution of PAG to Immune Synapse Organization and PD-1 Function,COLUMBIA UNIVERSITY HEALTH SCIENCES,2022-07-15 12:07:00,2025-03-14 12:03:00,2026-07-14 12:07:00,2024-07-15 12:07:00,2025-03-14 12:03:00,2025-07-14 12:07:00,53974,53974,0
2024-09-07 04:09:48,10826774,1F31AI181556-01,F31,Mechanistic insights into lipid A modification by the phosphoethanolamine transferase MCR-1,COLUMBIA UNIVERSITY HEALTH SCIENCES,2024-09-01 12:09:00,2025-03-14 12:03:00,2026-08-31 12:08:00,2024-09-01 12:09:00,2025-03-14 12:03:00,2025-08-31 12:08:00,48974,48974,0
