date_added,appl_id,project_num,activity_code,project_title,org_name,project_start_date,new_project_end_date,old_project_end_date,budget_start,new_budget_end_date,old_budget_end_date,new_award_amount,old_award_amount,award_amount_change
2024-08-26 11:08:21,10929982,5F31AG081043-02,F31,Robotic Exoskeleton Gait Training in Transition Aged Persons with Cerebral Palsy,FATHER FLANAGAN'S BOYS' HOME,2023-08-23 12:08:00,2025-04-29 12:04:00,2025-08-22 12:08:00,2024-08-23 12:08:00,2025-04-29 12:04:00,2025-08-22 12:08:00,31221,40080,-8859
2024-04-06 04:04:19,10819134,5F31EY034785-02,F31,"3D bioprinting of regenerative, corneal cell-laden inks to treat corneal blindness",STANFORD UNIVERSITY,2023-04-01 12:04:00,2025-03-31 12:03:00,2026-03-31 12:03:00,2024-04-01 12:04:00,2025-03-31 12:03:00,2025-03-31 12:03:00,41787,41787,0
2024-07-06 04:07:38,10878690,5F31NR020760-02,F31,Interpersonal Protective Factors and Mental Health Symptom Self-Management Among Black Transgender Women: A Mixed-Methods Study,JOHNS HOPKINS UNIVERSITY,2023-07-01 12:07:00,2025-03-21 12:03:00,2025-09-30 12:09:00,2024-07-01 12:07:00,2025-03-21 12:03:00,2025-06-30 12:06:00,48974,48974,0
2025-01-04 04:01:11,11068148,1F31MH139225-01,F31,Structural Stigma and Mental Health Among Transgender and Gender Diverse Adults Living in the Rural United States,JOHNS HOPKINS UNIVERSITY,2025-01-01 12:01:00,2025-03-19 12:03:00,2027-12-31 12:12:00,2025-01-01 12:01:00,2025-03-19 12:03:00,2025-12-31 12:12:00,42574,42574,0
2025-01-04 04:01:11,11070751,1F31MH136729-01A1,F31,Determining the role of discrimination in clinical presentation and treatment response among sexual minority people with OCD: A machine learning approach,FORDHAM UNIVERSITY,2025-01-01 12:01:00,2025-03-19 12:03:00,2027-12-31 12:12:00,2025-01-01 12:01:00,2025-03-19 12:03:00,2025-12-31 12:12:00,48974,48974,0
2025-01-25 04:01:57,11070608,1F31DA062473-01,F31,Social safety as a novel mechanism of risk for problematic substance use among sexual and gender minority youth,UNIV OF NORTH CAROLINA CHAPEL HILL,2025-01-01 12:01:00,2025-03-19 12:03:00,2026-12-31 12:12:00,2025-01-01 12:01:00,2025-03-19 12:03:00,2025-12-31 12:12:00,40441,40441,0
2025-01-25 04:01:57,11085454,1F31MH139392-01,F31,"HIV risk messaging and medical mistrust in the era of Undetectable=Untransmittable: Psychosocial and Behavioral Implications among Black, Latino/a/e/x, and Multiracial Sexual and Gender Minorities",GEORGE WASHINGTON UNIVERSITY,2025-01-07 12:01:00,2025-03-19 12:03:00,2028-01-06 12:01:00,2025-01-07 12:01:00,2025-03-19 12:03:00,2026-01-06 12:01:00,48974,48974,0
2024-07-13 04:07:17,11009143,1F31MH138212-01,F31,Exploring Acceptability & Potential Reach of Game-Based & Social Network Strategies for Improving PrEP & HIV Self-Testing Uptake among Latinx Sexual Minority Men Living in an EHE Priority Jurisdiction,UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,2024-07-01 12:07:00,2025-03-19 12:03:00,2026-06-30 12:06:00,2024-07-01 12:07:00,2025-03-19 12:03:00,2025-06-30 12:06:00,42749,42749,0
2024-05-04 04:05:42,10899314,1F31AA031605-01,F31,A Mixed Methods Study to Enhance Alcohol Treatment Help-seeking and Engagement Among Gender Diverse Adults,UNIVERSITY OF MEMPHIS,2024-05-01 12:05:00,2025-03-18 12:03:00,2026-04-30 12:04:00,2024-05-01 12:05:00,2025-03-18 12:03:00,2025-04-30 12:04:00,40769,40769,0
2024-07-20 04:07:58,10921340,1F31MH136856-01,F31,Aligning HIV services with gender diverse community priorities through person-centered care: a mixed methods study in India,JOHNS HOPKINS UNIVERSITY,2024-06-01 12:06:00,2025-03-18 12:03:00,2027-05-31 12:05:00,2024-06-01 12:06:00,2025-03-18 12:03:00,2025-05-31 12:05:00,48974,48974,0
2024-06-01 04:06:40,10903424,1F31AA031618-01,F31,Post-Traumatic Stress and Alcohol Use as Mechanisms Explaining IPV Among Bisexual Women Who Disclose Sexual Violence to Partners: Examining Minority Stress as a Moderator,UNIVERSITY OF NEBRASKA LINCOLN,2024-05-01 12:05:00,2025-03-18 12:03:00,2027-04-30 12:04:00,2024-05-01 12:05:00,2025-03-18 12:03:00,2025-04-30 12:04:00,48974,48974,0
2024-08-26 11:08:21,10916716,1F31NR021247-01,F31,"Client and clinician priorities for same-day PrEP and DoxyPEP awareness, uptake, and persistence in primary care.",OHIO STATE UNIVERSITY,2024-08-16 12:08:00,2025-03-18 12:03:00,2025-08-15 12:08:00,2024-08-16 12:08:00,2025-03-18 12:03:00,2025-08-15 12:08:00,42104,42104,0
2024-08-26 11:08:21,10995512,1F31AI181431-01A1,F31,Prevention of Chlamydia trachomatis infections: Evaluation of vaccination and post-exposure prophylactic antibiotic use as population-level strategies,UNIVERSITY OF WASHINGTON,2024-08-16 12:08:00,2025-03-18 12:03:00,2026-02-15 12:02:00,2024-08-16 12:08:00,2025-03-18 12:03:00,2025-08-15 12:08:00,48974,48974,0
2025-02-08 04:02:52,11009322,1F32MH138253-01,F32,Training in Behavioral Design Interventions to Address Stigma among Men Who have Sex with Men,YALE UNIVERSITY,2025-02-08 12:02:00,2025-03-18 12:03:00,2028-02-07 12:02:00,2025-02-08 12:02:00,2025-03-18 12:03:00,2026-02-07 12:02:00,77908,77908,0
2024-08-03 04:08:44,10988917,1F31AA031420-01A1,F31,"Examining Proximal Associations between Minority Stress, PTSD Symptoms, and Alcohol Use among Bi+ College Students with Trauma Histories",UNIVERSITY OF TENNESSEE KNOXVILLE,2024-08-01 12:08:00,2025-03-18 12:03:00,2027-07-31 12:07:00,2024-08-01 12:08:00,2025-03-18 12:03:00,2025-07-31 12:07:00,48974,48974,0
2024-08-03 04:08:44,10997877,1F31MD019985-01,F31,Characterizing Economic Determinants of Violence and Safety Disparities Among Sexual and Gender Diverse Populations,JOHNS HOPKINS UNIVERSITY,2024-08-03 12:08:00,2025-03-18 12:03:00,2027-08-02 12:08:00,2024-08-03 12:08:00,2025-03-18 12:03:00,2025-08-02 12:08:00,48974,48974,0
2024-04-06 04:04:19,10900892,1F31NR021243-01,F31,Intergenerational and Cultural Drivers of Depressive Symptoms in Hispanic Sexual Minority Youth,UNIVERSITY OF MIAMI CORAL GABLES,2024-04-01 12:04:00,2025-03-18 12:03:00,2025-12-31 12:12:00,2024-04-01 12:04:00,2025-03-18 12:03:00,2025-03-31 12:03:00,48974,48974,0
2024-08-26 11:08:21,10906222,5F32AG077932-03,F32,Neurobiological mechanisms of Western diet-induced cognitive dysfunction,UNIVERSITY OF SOUTHERN CALIFORNIA,2022-08-25 12:08:00,2025-03-16 12:03:00,2025-08-24 12:08:00,2024-08-25 12:08:00,2025-03-16 12:03:00,2025-08-24 12:08:00,48104,76756,-28652
2024-09-07 04:09:48,10928124,5F31AG079613-02,F31,Inhibition of CD33-sialic acid binding in Late-Onset Alzheimer's Disease,COLUMBIA UNIVERSITY HEALTH SCIENCES,2023-09-01 12:09:00,2025-03-14 12:03:00,2026-08-31 12:08:00,2024-09-01 12:09:00,2025-03-14 12:03:00,2025-08-31 12:08:00,48974,48974,0
2024-12-21 04:12:06,11002649,5F31EY035165-02,F31,Linking endoplasmic reticulum calcium handling to neuronal function in vivo in the Drosophila visual system,COLUMBIA UNIV NEW YORK MORNINGSIDE,2023-12-16 12:12:00,2025-03-14 12:03:00,2026-12-15 12:12:00,2024-12-16 12:12:00,2025-03-14 12:03:00,2025-12-15 12:12:00,42574,42574,0
2025-02-01 04:02:27,11042742,5F31EY033660-03,F31,Therapeutic Editing of Rod Glycolysis Rescues Retinal Degeneration,COLUMBIA UNIVERSITY HEALTH SCIENCES,2023-02-01 12:02:00,2025-03-14 12:03:00,2026-01-31 12:01:00,2025-02-01 12:02:00,2025-03-14 12:03:00,2026-01-31 12:01:00,48974,48974,0
2024-09-07 04:09:48,10997953,1F31AG090071-01,F31,The impact of Alzheimer's disease on novel genetic signatures of hippocampal memory traces,COLUMBIA UNIVERSITY HEALTH SCIENCES,2024-09-01 12:09:00,2025-03-14 12:03:00,2026-08-31 12:08:00,2024-09-01 12:09:00,2025-03-14 12:03:00,2025-08-31 12:08:00,48974,48974,0
2024-05-04 04:05:42,10818481,5F32AA029866-03,F32,Simultaneous prenatal alcohol and cannabinoid exposure & offspring corticostriatal neurocircuitry,TEXAS A&M UNIVERSITY HEALTH SCIENCE CTR,2022-05-01 12:05:00,2025-02-28 12:02:00,2025-04-30 12:04:00,2024-05-01 12:05:00,2025-02-28 12:02:00,2025-04-30 12:04:00,63970,74284,-10314
2025-01-18 04:01:31,11004385,5F31NS127555-03,F31,Establishing and Optimizing a Prime Editing Method in Neurons for Treatment of Rett Syndrome,UNIV OF MASSACHUSETTS MED SCH WORCESTER,2023-01-15 12:01:00,2025-02-03 12:02:00,2026-01-14 12:01:00,2025-01-15 12:01:00,2025-02-03 12:02:00,2026-01-14 12:01:00,7006,33740,-26734
2024-12-07 04:12:42,10996104,5F32HL172463-02,F32,Optimizing Vasopressor Delivery in Early Sepsis,UNIVERSITY OF MICHIGAN AT ANN ARBOR,2023-12-01 12:12:00,2025-01-31 12:01:00,2025-05-31 12:05:00,2024-12-01 12:12:00,2025-01-31 12:01:00,2025-05-31 12:05:00,18548,44060,-25512
2024-09-07 04:09:48,10935945,5F31NS132580-02,F31,Defining the mechanisms by which mutations in DNAJC7 increase susceptibility to ALS/FTD,NORTHWESTERN UNIVERSITY AT CHICAGO,2023-09-01 12:09:00,2025-01-24 12:01:00,2025-02-28 12:02:00,2024-09-01 12:09:00,2025-01-24 12:01:00,2025-02-28 12:02:00,29623,32487,-2864
