date_added,appl_id,project_num,activity_code,project_title,org_name,project_start_date,new_project_end_date,old_project_end_date,budget_start,new_budget_end_date,old_budget_end_date,new_award_amount,old_award_amount,award_amount_change
2024-08-03 04:08:44,10900452,5UG1CA190000-11,UG1,Stroger Hospital of Cook County (SHCC) MU-NCORP Renewal,HEKTOEN INSTITUTE FOR MEDICAL RESEARCH,2014-08-16 12:08:00,2025-03-31 12:03:00,2025-07-31 12:07:00,2024-08-01 12:08:00,2025-03-31 12:03:00,2025-07-31 12:07:00,410325,758182,-347857
2024-07-06 04:07:38,11117358,3R01AI172066-03S1,R01,Plasmodium Protein Kinase Focused Antimalarials Discovery,UNIVERSITY OF CENTRAL FLORIDA,2022-07-11 12:07:00,2025-03-11 12:03:00,2027-06-30 12:06:00,2024-07-01 12:07:00,2025-03-11 12:03:00,2025-06-30 12:06:00,46379,58225,-11846
2024-09-07 04:09:48,10915645,5R35GM150868-02,R35,"Protein Structure, Dynamics, and Aggregation in Phase Separated Droplets",UNIVERSITY OF NOTRE DAME,2023-09-01 12:09:00,2025-02-01 12:02:00,2028-08-31 12:08:00,2024-09-01 12:09:00,2025-02-01 12:02:00,2025-08-31 12:08:00,1,391250,-391249
2024-06-01 04:06:40,10881086,1R01AR082944-01A1,R01,The role of collagen VII in extracellular matrix protein secretion,THOMAS JEFFERSON UNIVERSITY,2024-06-01 12:06:00,2025-01-30 12:01:00,2029-05-31 12:05:00,2024-06-01 12:06:00,2025-01-30 12:01:00,2025-05-31 12:05:00,227518,343200,-115682
2024-04-13 04:04:55,10818331,5K08HL146959-05,K08,Prevention of Anthracycline Chemotherapy Cardiotoxicity,TUFTS MEDICAL CENTER,2020-04-15 12:04:00,2025-01-01 12:01:00,2026-03-31 12:03:00,2024-04-01 12:04:00,2025-01-01 12:01:00,2026-03-31 12:03:00,31901,160877,-128976
2023-07-01 04:07:32,10609388,5R21CA263838-02,R21,"Leveraging mHealth to deliver integrated pain-CBT, opioid monitoring, and self-management support for advanced cancer patients coping with chronic pain",UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,2022-05-01 12:05:00,2024-10-01 12:10:00,2025-04-30 12:04:00,2023-05-01 12:05:00,2024-10-01 12:10:00,2025-04-30 12:04:00,128824,151529,-22705
2024-06-01 04:06:40,10851999,5R01CA229618-07,R01,Genetic mechanisms underlying sexual dimorphism in cancer and response to therapy,NORTHWESTERN UNIVERSITY AT CHICAGO,2019-06-01 12:06:00,2024-09-30 12:09:00,2025-05-31 12:05:00,2024-06-01 12:06:00,2024-09-30 12:09:00,2025-05-31 12:05:00,137615,556410,-418795
2024-08-03 04:08:44,10975317,1R35CA283706-01A1,R35,Rewired Signaling at the Nexus of Melanoma Metastasis and Resistance,SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,2024-08-01 12:08:00,2024-09-30 12:09:00,2031-07-31 12:07:00,2024-08-01 12:08:00,2024-09-30 12:09:00,2025-07-31 12:07:00,343564,1170000,-826436
2024-07-20 04:07:58,10987761,1R03DK138218-01A1,R03,Zinc Finger Protein 949 as a Potential Transcriptional Suppressor of Adipocyte Hypertrophy - Resubmission - 1,NEW YORK UNIVERSITY SCHOOL OF MEDICINE,2024-07-15 12:07:00,2024-08-31 12:08:00,2026-06-30 12:06:00,2024-07-15 12:07:00,2024-08-31 12:08:00,2025-06-30 12:06:00,10000,127125,-117125
2024-07-06 04:07:38,10867486,5R01NS118580-05,R01,Identifying mTOR Dependent Periods During Brain Development,VANDERBILT UNIVERSITY,2020-09-01 12:09:00,2024-08-31 12:08:00,2025-06-30 12:06:00,2024-07-01 12:07:00,2024-08-31 12:08:00,2025-06-30 12:06:00,166315,371795,-205480
2024-06-01 04:06:40,10873932,5R01MH130566-02,R01,Resistance Exercise to Treat Major Depression via Cerebrovascular Mechanisms: Confirming Efficacy and Informing Precision Medicine,IOWA STATE UNIVERSITY,2023-06-22 12:06:00,2024-08-14 12:08:00,2028-05-31 12:05:00,2024-06-01 12:06:00,2024-08-14 12:08:00,2025-05-31 12:05:00,67080,721718,-654638
2024-07-06 04:07:38,10863929,5R01MD018193-03,R01,Church Wellness Coordinator-led Intervention to Improve Hypertension Control in the Black Community,TULANE UNIVERSITY OF LOUISIANA,2022-09-18 12:09:00,2024-07-22 12:07:00,2027-06-30 12:06:00,2024-07-01 12:07:00,2024-07-22 12:07:00,2025-06-30 12:06:00,1,1474368,-1474367
2024-03-02 04:03:26,10798192,5R01NS123051-03,R01,Single stage surgical intervention for treatment of severe traumatic brain injury,UNIVERSITY OF OKLAHOMA,2022-03-01 12:03:00,2024-06-30 12:06:00,2026-02-28 12:02:00,2024-03-01 12:03:00,2024-06-30 12:06:00,2025-02-28 12:02:00,131520,586870,-455350
